id,status,name,company_id,company_name,employment_type,additional_apply_type,due_time,country,location,full_location,reward_total,reward_recommender,reward_recommendee,category_parent,category_children,url
374695,active,생성형 AI 영상 크리에이터,54850,동동컴퍼니,regular,,,한국,서울,"서울 성동구 연무장5가길 25, 1306-1","￦1,000,000","￦500,000","￦500,000",디자인,"영상,모션 디자이너;콘텐츠 디자이너",https://www.wanted.co.kr/wd/374695?client_id=x7eN3AyKUtFUcR2WIUFbWYfS
374693,active,운영팀 팀장(해외 Tech Support 이슈 관리),20818,코어라인소프트,regular,foreigner,,한국,서울,"서울 마포구 동교로19길 12, 코어라인소프트","￦1,000,000","￦500,000","￦500,000",개발,기술지원,https://www.wanted.co.kr/wd/374693?client_id=x7eN3AyKUtFUcR2WIUFbWYfS
327899,active,AI Research Scientist (전문연구요원 가능),341,소크라에이아이,regular,,,한국,서울,"서울 강남구 테헤란로 424, 2, 19층","￦1,000,000","￦500,000","￦500,000",개발,데이터 사이언티스트;빅데이터 엔지니어,https://www.wanted.co.kr/wd/327899?client_id=x7eN3AyKUtFUcR2WIUFbWYfS
353709,active,Product Manager(E-commerce),15155,쉐어트리츠,regular,,2026-08-20,한국,서울,서울 강남구 테헤란로 142 ARC PLACE 위워크 역삼점 5층,"￦1,000,000","￦500,000","￦500,000",경영·비즈니스,서비스 기획자,https://www.wanted.co.kr/wd/353709?client_id=x7eN3AyKUtFUcR2WIUFbWYfS
374869,active,IP 마케터,8981,콜리,regular,,,한국,서울,강남구 논현로 709 5층 ,"￦1,000,000","￦500,000","￦500,000",마케팅·광고,콘텐츠 마케터;브랜드 마케터;마케팅 전략 기획자,https://www.wanted.co.kr/wd/374869?client_id=x7eN3AyKUtFUcR2WIUFbWYfS
374867,active,브랜드의 성장을 함께 만드는 디지털마케팅 AE,49391,스튜디오그로우,regular,,,한국,서울,"서울 송파구 백제고분로12길 13, 환우빌딩 302호","￦1,000,000","￦500,000","￦500,000",마케팅·광고,콘텐츠 마케터;광고 기획자(AE),https://www.wanted.co.kr/wd/374867?client_id=x7eN3AyKUtFUcR2WIUFbWYfS
370055,active,[스팀(Steam)] UI/UX 디자이너,3382,111퍼센트,regular,,,한국,제주,"제주특별자치도 제주시 한림읍 옹포7길 25, 슈퍼패스트 제주","￦1,000,000","￦500,000","￦500,000",디자인,"UI,GUI 디자이너;UX 디자이너",https://www.wanted.co.kr/wd/370055?client_id=x7eN3AyKUtFUcR2WIUFbWYfS
370053,active,[스팀(Steam)] 2D 그래픽 디자이너,3382,111퍼센트,regular,,,한국,제주,"제주특별자치도 제주시 한림읍 옹포7길 25, 슈퍼패스트 제주","￦1,000,000","￦500,000","￦500,000",디자인,그래픽 디자이너,https://www.wanted.co.kr/wd/370053?client_id=x7eN3AyKUtFUcR2WIUFbWYfS
370052,active,[스팀(Steam)] 클라이언트 개발자,3382,111퍼센트,regular,,,한국,제주,"제주특별자치도 제주시 한림읍 옹포7길 25, 슈퍼패스트 제주","￦1,000,000","￦500,000","￦500,000",개발,.NET 개발자;소프트웨어 엔지니어,https://www.wanted.co.kr/wd/370052?client_id=x7eN3AyKUtFUcR2WIUFbWYfS
374866,active,프로케어 상담 매니저,7062,맘편한세상(맘시터),regular,,,한국,서울,서울특별시 서초구 서초대로46길 25 창영빌딩 3층,"￦1,000,000","￦500,000","￦500,000",고객서비스·리테일,CS 매니저;CRM 전문가;서비스 운영,https://www.wanted.co.kr/wd/374866?client_id=x7eN3AyKUtFUcR2WIUFbWYfS
279047,active,프러덕트 디자이너,52765,코코드,regular,,,한국,서울,"서울 마포구 양화로 147, 4층 위워크","￦1,000,000","￦500,000","￦500,000",디자인,"그래픽 디자이너;UI,GUI 디자이너;UX 디자이너",https://www.wanted.co.kr/wd/279047?client_id=x7eN3AyKUtFUcR2WIUFbWYfS
159691,active,[판다랭크] 풀스택 Nodejs 개발자,40311,선데이띵커,regular,,,한국,서울,서울시 마포대로 53길 A동 2412호,"￦1,000,000","￦500,000","￦500,000",개발,웹 개발자;프론트엔드 개발자;Node.js 개발자,https://www.wanted.co.kr/wd/159691?client_id=x7eN3AyKUtFUcR2WIUFbWYfS
352939,active,AI 국제 물류 스타트업 ITOps 엔지니어,25693,아로아랩스,regular,,2026-07-31,한국,서울,"서울 종로구 새문안로 69, 3층","￦1,000,000","￦500,000","￦500,000",개발,DevOps / 시스템 관리자,https://www.wanted.co.kr/wd/352939?client_id=x7eN3AyKUtFUcR2WIUFbWYfS
279435,active,Flutter/Dart 풀스택 엔지니어,52765,코코드,regular,,,한국,서울,"서울 마포구 양화로 147, 4층 위워크","￦1,000,000","￦500,000","￦500,000",개발,서버 개발자;프론트엔드 개발자;소프트웨어 엔지니어,https://www.wanted.co.kr/wd/279435?client_id=x7eN3AyKUtFUcR2WIUFbWYfS
374612,active,서비스기획 PM,44594,모비고,regular,,2026-07-23,한국,서울,"서울 서초구 강남대로95길 17, 4층","￦1,000,000","￦500,000","￦500,000",경영·비즈니스,서비스 기획자;PM·PO,https://www.wanted.co.kr/wd/374612?client_id=x7eN3AyKUtFUcR2WIUFbWYfS
374863,active,아트 팀장 (Art Director / Lead Artist),10017,데브즈유나이티드게임즈,regular,,,한국,서울,"서울 강남구 학동로 105, 3층","￦1,000,000","￦500,000","￦500,000",게임 제작,게임 그래픽 디자이너;게임 아티스트,https://www.wanted.co.kr/wd/374863?client_id=x7eN3AyKUtFUcR2WIUFbWYfS
374859,active,Data Engineer (2년 이상),468,플리토,regular,,2026-07-26,한국,서울,"서울특별시 강남구 영동대로 96길 20 대화빌딩, 6층","￦1,000,000","￦500,000","￦500,000",개발,데이터 엔지니어,https://www.wanted.co.kr/wd/374859?client_id=x7eN3AyKUtFUcR2WIUFbWYfS
371924,active,Front-end 개발자 (5년 이상),36859,아파트아이,regular,,2026-08-31,한국,서울,서울특별시 금천구 가산디지털1로 186 제이플라츠 1203호,"￦1,000,000","￦500,000","￦500,000",개발,프론트엔드 개발자,https://www.wanted.co.kr/wd/371924?client_id=x7eN3AyKUtFUcR2WIUFbWYfS
336520,active,[텀블벅] 프론트엔드 개발자 (1~3년),282,백패커,regular,,,한국,서울,"서울 서초구 서초대로 398, 20층","￦1,000,000","￦500,000","￦500,000",개발,웹 개발자;프론트엔드 개발자,https://www.wanted.co.kr/wd/336520?client_id=x7eN3AyKUtFUcR2WIUFbWYfS
371607,active,스킨케어 화장품 영업 팀장,33770,씨앤씨인터내셔널,regular,,2026-07-31,한국,경기,"경기 수원시 영통구 신원로198번길 15-13, 씨앤씨인터내셔널 수원R&I센터","￦1,000,000","￦500,000","￦500,000",영업,주요고객사 담당자;기업영업,https://www.wanted.co.kr/wd/371607?client_id=x7eN3AyKUtFUcR2WIUFbWYfS
